locality,region,pop,proper
carolina,al,287,Carolina
carrollton,al,1004,Carrollton
castleberry,al,476,Castleberry
catherine,al,604,Catherine
cecil,al,391,Cecil
cedar-bluff,al,1856,Cedar Bluff
center-point,al,16122,Center Point
centre,al,3618,Centre
centreville,al,2797,Centreville
chancellor,al,2177,Chancellor
chatom,al,1089,Chatom
chelsea,al,15691,Chelsea
cherokee,al,967,Cherokee
chickasaw,al,6387,Chickasaw
childersburg,al,4696,Childersburg
chunchula,al,5804,Chunchula
citronelle,al,3926,Citronelle
clanton,al,8784,Clanton
clay,al,10301,Clay
clayhatchee,al,472,Clayhatchee
clayton,al,2243,Clayton
cleveland,al,1246,Cleveland
clio,al,1211,Clio
clopton,al,703,Clopton
coaling,al,2016,Coaling
coden,al,3139,Coden
coffee-springs,al,207,Coffee Springs
coffeeville,al,259,Coffeeville
coker,al,892,Coker
collinsville,al,2052,Collinsville
colony,al,269,Colony
columbia,al,696,Columbia
columbiana,al,4671,Columbiana
cook-springs,al,257,Cook Springs
coosada,al,1235,Coosada
cordova,al,1695,Cordova
cottondale,al,12130,Cottondale
cottonton,al,0,Cottonton
cottonwood,al,1051,Cottonwood
courtland,al,582,Courtland
cowarts,al,1962,Cowarts
coy,al,433,Coy
cragford,al,901,Cragford
crane-hill,al,3073,Crane Hill
creola,al,1937,Creola
cropwell,al,4649,Cropwell
crossville,al,1830,Crossville
cuba,al,297,Cuba
cullman,al,18843,Cullman
cusseta,al,150,Cusseta
dadeville,al,3045,Dadeville
daleville,al,4876,Daleville
danville,al,4739,Danville
daphne,al,28739,Daphne
dauphin-island,al,1811,Dauphin Island
daviston,al,176,Daviston
dawson,al,1608,Dawson
dayton,al,27,Dayton
deatsville,al,1699,Deatsville
decatur,al,57605,Decatur
deer-park,al,193,Deer Park
delta,al,1609,Delta
demopolis,al,7001,Demopolis
detroit,al,227,Detroit
dickinson,al,718,Dickinson
dixons-mills,al,1436,Dixons Mills
docena,al,296,Docena
dodge-city,al,552,Dodge City
dolomite,al,1389,Dolomite
dora,al,2275,Dora
dothan,al,71033,Dothan
double-springs,al,1117,Double Springs
douglas,al,762,Douglas
dozier,al,286,Dozier
duncanville,al,4639,Duncanville
dutton,al,328,Dutton
east-brewton,al,2284,East Brewton
eastaboga,al,4602,Eastaboga
echola,al,51,Echola
eclectic,al,1202,Eclectic
edwardsville,al,205,Edwardsville
eight-mile,al,12326,Eight Mile
elba,al,3430,Elba
elberta,al,2009,Elberta
eldridge,al,137,Eldridge
elkmont,al,424,Elkmont
elmore,al,1335,Elmore
elrod,al,912,Elrod
emelle,al,32,Emelle
empire,al,3408,Empire
enterprise,al,29373,Enterprise
epes,al,267,Epes
equality,al,1294,Equality
estillfork,al,99,Estillfork
ethelsville,al,49,Ethelsville
eufaula,al,12742,Eufaula
eutaw,al,2876,Eutaw
eva,al,586,Eva
evergreen,al,3432,Evergreen
excel,al,547,Excel
fackler,al,747,Fackler
fairfield,al,9831,Fairfield
fairhope,al,23285,Fairhope
fairview,al,527,Fairview
falkville,al,1195,Falkville
faunsdale,al,84,Faunsdale
fayette,al,4220,Fayette
fitzpatrick,al,813,Fitzpatrick
five-points,al,116,Five Points
flat-rock,al,3360,Flat Rock
flomaton,al,1460,Flomaton
florala,al,1917,Florala
florence,al,41070,Florence
foley,al,22052,Foley
forest-home,al,316,Forest Home
forkland,al,435,Forkland
fort-davis,al,23,Fort Davis
fort-deposit,al,1175,Fort Deposit
fort-mitchell,al,8769,Fort Mitchell
fort-novosel,al,5422,Fort Novosel
fort-payne,al,14887,Fort Payne
fosters,al,2130,Fosters
franklin,al,577,Franklin
frankville,al,406,Frankville
frisco-city,al,1155,Frisco City
fruitdale,al,451,Fruitdale
fruithurst,al,239,Fruithurst
fulton,al,219,Fulton
fultondale,al,9774,Fultondale
furman,al,0,Furman
fyffe,al,973,Fyffe
gadsden,al,33585,Gadsden
gainestown,al,1050,Gainestown
gainesville,al,170,Gainesville
gallant,al,1293,Gallant
gallion,al,2801,Gallion
gantt,al,195,Gantt
garden-city,al,535,Garden City
gardendale,al,16418,Gardendale
gaylesville,al,171,Gaylesville
geiger,al,153,Geiger
geneva,al,4216,Geneva
georgiana,al,1309,Georgiana
geraldine,al,907,Geraldine
gilbertown,al,732,Gilbertown
glen-allen,al,427,Glen Allen
glencoe,al,5371,Glencoe
glenwood,al,151,Glenwood
goldville,al,57,Goldville
good-hope,al,2544,Good Hope
goodwater,al,1291,Goodwater
gordo,al,1605,Gordo
gordon,al,292,Gordon
gordonville,al,235,Gordonville
goshen,al,268,Goshen
grady,al,1904,Grady
graham,al,520,Graham
grand-bay,al,15601,Grand Bay
grant,al,1042,Grant
graysville,al,1913,Graysville
green-pond,al,112,Green Pond
greensboro,al,2197,Greensboro
greenville,al,7271,Greenville
grimes,al,576,Grimes
grove-hill,al,1783,Grove Hill
groveoak,al,1400,Groveoak
gu-win,al,142,Gu-Win
guin,al,2176,Guin
gulf-shores,al,15703,Gulf Shores
guntersville,al,8720,Guntersville
gurley,al,842,Gurley
hackleburg,al,1429,Hackleburg
haleburg,al,116,Haleburg
haleyville,al,4365,Haleyville
hamilton,al,6777,Hamilton
hammondville,al,424,Hammondville
hanceville,al,3248,Hanceville
hardaway,al,261,Hardaway
harpersville,al,1688,Harpersville
hartford,al,2671,Hartford
hartselle,al,15537,Hartselle
harvest,al,28121,Harvest
hatchechubbee,al,405,Hatchechubbee
hayden,al,1340,Hayden
hayneville,al,800,Hayneville
hazel-green,al,14255,Hazel Green
headland,al,5142,Headland
heath,al,236,Heath
heflin,al,3436,Heflin
helena,al,21532,Helena
henagar,al,2297,Henagar
higdon,al,744,Higdon
highland-home,al,1506,Highland Home
highland-lake,al,414,Highland Lake
hillsboro,al,409,Hillsboro
hobson-city,al,755,Hobson City
hodges,al,261,Hodges
hokes-bluff,al,4455,Hokes Bluff
hollins,al,0,Hollins
holly-pond,al,848,Holly Pond
hollytree,al,245,Hollytree
hollywood,al,916,Hollywood
homewood,al,28102,Homewood
honoraville,al,1389,Honoraville
hoover,al,92627,Hoover
hope-hull,al,3800,Hope Hull
horn-hill,al,205,Horn Hill
horton,al,6420,Horton
houston,al,1448,Houston
hueytown,al,16561,Hueytown
huntsville,al,218672,Huntsville
hurtsboro,al,345,Hurtsboro
huxford,al,8,Huxford
hytop,al,442,Hytop
ider,al,734,Ider
indian-springs-village,al,2492,Indian Springs Village
irondale,al,13496,Irondale
irvington,al,11726,Irvington
jachin,al,14,Jachin
jack,al,1309,Jack
jackson,al,4646,Jackson
jacksons-gap,al,749,Jacksons Gap
jacksonville,al,14119,Jacksonville
jasper,al,14435,Jasper
jemison,al,2646,Jemison
jones,al,608,Jones
joppa,al,2923,Joppa
kansas,al,178,Kansas
kellyton,al,127,Kellyton
kennedy,al,430,Kennedy
killen,al,1035,Killen
kimberly,al,4132,Kimberly
kinsey,al,2253,Kinsey
kinston,al,585,Kinston
knoxville,al,271,Knoxville
la-fayette,al,2657,La Fayette
laceys-spring,al,5555,Laceys Spring
lafayette,al,5986,Lafayette
lake-view,al,3647,Lake View
lakeview,al,162,Lakeview
lanett,al,6860,Lanett
langston,al,268,Langston
lapine,al,1358,Lapine
lawley,al,859,Lawley
leeds,al,12263,Leeds
leesburg,al,969,Leesburg
leighton,al,651,Leighton
lenox,al,30,Lenox
leroy,al,1220,Leroy
lester,al,114,Lester
letohatchee,al,859,Letohatchee
level-plains,al,1819,Level Plains
lexington,al,730,Lexington
libertyville,al,109,Libertyville
lillian,al,6048,Lillian
lincoln,al,7077,Lincoln
linden,al,1890,Linden
lineville,al,2475,Lineville
lipscomb,al,2053,Lipscomb
lisman,al,424,Lisman
little-river,al,368,Little River
littleville,al,1046,Littleville
livingston,al,3187,Livingston
loachapoka,al,165,Loachapoka
lockhart,al,442,Lockhart
locust-fork,al,1210,Locust Fork
logan,al,1161,Logan
louisville,al,396,Louisville
lower-peach-tree,al,416,Lower Peach Tree
lowndesboro,al,83,Lowndesboro
loxley,al,4002,Loxley
luverne,al,2711,Luverne
lynn,al,616,Lynn
madison,al,58328,Madison
madrid,al,263,Madrid
magnolia,al,284,Magnolia
magnolia-springs,al,815,Magnolia Springs
malcolm,al,44,Malcolm
malvern,al,1537,Malvern
maplesville,al,647,Maplesville
marbury,al,3308,Marbury
margaret,al,5414,Margaret
marion,al,3087,Marion
marion-junction,al,1683,Marion Junction
mathews,al,674,Mathews
maytown,al,315,Maytown
mccalla,al,19418,McCalla
mcintosh,al,202,McIntosh
mckenzie,al,502,McKenzie
mcmullen,al,29,McMullen
mcwilliams,al,0,McWilliams
melvin,al,54,Melvin
memphis,al,25,Memphis
mentone,al,323,Mentone
meridianville,al,11627,Meridianville
midfield,al,5110,Midfield
midland-city,al,2268,Midland City
midway,al,418,Midway
millbrook,al,16909,Millbrook
millerville,al,222,Millerville
millport,al,988,Millport
millry,al,445,Millry
minter,al,754,Minter
mobile,al,185017,Mobile
monroeville,al,5865,Monroeville
montevallo,al,7408,Montevallo
montgomery,al,198469,Montgomery
montrose,al,375,Montrose
moody,al,13494,Moody
mooresville,al,46,Mooresville
morris,al,2267,Morris
mosses,al,805,Mosses
moulton,al,3395,Moulton
moundville,al,3072,Moundville
mount-hope,al,1384,Mount Hope
mount-meigs,al,108,Mount Meigs
mount-olive,al,6002,Mount Olive
mount-vernon,al,1365,Mount Vernon
mountain-brook,al,22243,Mountain Brook
mulga,al,778,Mulga
munford,al,1337,Munford
muscadine,al,1350,Muscadine
muscle-shoals,al,16657,Muscle Shoals
myrtlewood,al,69,Myrtlewood
nanafalia,al,0,Nanafalia
napier-field,al,413,Napier Field
natural-bridge,al,34,Natural Bridge
nauvoo,al,182,Nauvoo
nectar,al,380,Nectar
needham,al,73,Needham
new-brockton,al,1458,New Brockton
new-castle,al,0,New Castle
new-hope,al,2885,New Hope
new-market,al,13032,New Market
new-site,al,772,New Site
newbern,al,130,Newbern
newton,al,1612,Newton
newville,al,547,Newville
north-courtland,al,485,North Courtland
north-johns,al,127,North Johns
northport,al,31044,Northport
notasulga,al,899,Notasulga
oak-grove,al,553,Oak Grove
oak-hill,al,13,Oak Hill
oakman,al,756,Oakman
odenville,al,4980,Odenville
ohatchee,al,1167,Ohatchee
oneonta,al,6929,Oneonta
onycha,al,167,Onycha
opelika,al,31602,Opelika
opp,al,6737,Opp
orange-beach,al,8312,Orange Beach
orrville,al,146,Orrville
owens-cross-roads,al,2648,Owens Cross Roads
oxford,al,22072,Oxford
ozark,al,14328,Ozark
paint-rock,al,181,Paint Rock
panola,al,114,Panola
pansey,al,973,Pansey
parrish,al,971,Parrish
pelham,al,24504,Pelham
pell-city,al,13322,Pell City
pennington,al,330,Pennington
perdido,al,1456,Perdido
perdido-beach,al,557,Perdido Beach
perdue-hill,al,0,Perdue Hill
peterman,al,826,Peterman
petrey,al,65,Petrey
phenix-city,al,38406,Phenix City
phil-campbell,al,986,Phil Campbell
pickensville,al,550,Pickensville
piedmont,al,4743,Piedmont
pike-road,al,9994,Pike Road
pinckard,al,588,Pinckard
pine-apple,al,139,Pine Apple
pine-hill,al,748,Pine Hill
pine-ridge,al,263,Pine Ridge
pinson,al,7177,Pinson
pisgah,al,680,Pisgah
pittsview,al,1027,Pittsview
plantersville,al,1805,Plantersville
pleasant-grove,al,9493,Pleasant Grove
pleasant-groves,al,426,Pleasant Groves
point-clear,al,0,Point Clear
pollard,al,125,Pollard
powell,al,911,Powell
prattville,al,38299,Prattville
priceville,al,3682,Priceville
prichard,al,19051,Prichard
princeton,al,245,Princeton
providence,al,166,Providence
quinton,al,3171,Quinton
ragland,al,1703,Ragland
rainbow-city,al,10185,Rainbow City
rainsville,al,5616,Rainsville
ralph,al,1828,Ralph
ramer,al,1987,Ramer
ranburne,al,421,Ranburne
randolph,al,800,Randolph
range,al,171,Range
red-bay,al,3220,Red Bay
red-level,al,429,Red Level
reece-city,al,613,Reece City
reform,al,1493,Reform
rehobeth,al,1818,Rehobeth
remlap,al,2922,Remlap
repton,al,232,Repton
ridgeville,al,84,Ridgeville
river-falls,al,482,River Falls
riverside,al,2239,Riverside
riverview,al,163,Riverview
roanoke,al,5303,Roanoke
robertsdale,al,6941,Robertsdale
rockford,al,358,Rockford
rogersville,al,1325,Rogersville
rosa,al,375,Rosa
russellville,al,10813,Russellville
rutledge,al,348,Rutledge
safford,al,283,Safford
saint-elmo,al,85,Saint Elmo
saint-florian,al,659,Saint Florian
saint-stephens,al,706,Saint Stephens
salem,al,10373,Salem
samson,al,1860,Samson
sand-rock,al,590,Sand Rock
sanford,al,256,Sanford
saraland,al,16309,Saraland
sardis,al,1117,Sardis
sardis-city,al,1804,Sardis City
satsuma,al,6785,Satsuma
sawyerville,al,1992,Sawyerville
scottsboro,al,15638,Scottsboro
seale,al,3679,Seale
section,al,761,Section
selma,al,17474,Selma
seminole,al,1636,Seminole
semmes,al,5230,Semmes
sheffield,al,9358,Sheffield
shelby,al,3122,Shelby
shiloh,al,325,Shiloh
shorter,al,381,Shorter
shorterville,al,435,Shorterville
silas,al,367,Silas
silverhill,al,1031,Silverhill
sipsey,al,359,Sipsey
skipperville,al,572,Skipperville
skyline,al,835,Skyline
slocomb,al,2086,Slocomb
smiths-station,al,5413,Smiths Station
snead,al,1032,Snead
somerville,al,800,Somerville
south-vinemont,al,578,South Vinemont
southside,al,9525,Southside
spanish-fort,al,10431,Spanish Fort
springville,al,4923,Springville
spruce-pine,al,1838,Spruce Pine
stanton,al,534,Stanton
stapleton,al,1217,Stapleton
steele,al,997,Steele
sterrett,al,6465,Sterrett
stevenson,al,1955,Stevenson
stockton,al,1649,Stockton
sulligent,al,1846,Sulligent
sumiton,al,2407,Sumiton
summerdale,al,1540,Summerdale
sunflower,al,232,Sunflower
susan-moore,al,786,Susan Moore
sweet-water,al,223,Sweet Water
sycamore,al,77,Sycamore
sylacauga,al,12390,Sylacauga
sylvan-springs,al,1630,Sylvan Springs
sylvania,al,1796,Sylvania
talladega,al,14760,Talladega
talladega-springs,al,145,Talladega Springs
tallassee,al,4794,Tallassee
tanner,al,1526,Tanner
tarrant,al,6009,Tarrant
taylor,al,2275,Taylor
theodore,al,23964,Theodore
thomaston,al,321,Thomaston
thomasville,al,3598,Thomasville
thorsby,al,2091,Thorsby
tibbie,al,505,Tibbie
titus,al,2551,Titus
toney,al,13784,Toney
town-creek,al,1053,Town Creek
townley,al,734,Townley
toxey,al,145,Toxey
trafford,al,607,Trafford
trenton,al,118,Trenton
triana,al,3387,Triana
trinity,al,2533,Trinity
troy,al,17545,Troy
trussville,al,26353,Trussville
tuscaloosa,al,109082,Tuscaloosa
tuscumbia,al,9081,Tuscumbia
tuskegee,al,9036,Tuskegee
tuskegee-institute,al,3451,Tuskegee Institute
twin,al,360,Twin
tyler,al,742,Tyler
union,al,177,Union
union-grove,al,69,Union Grove
union-springs,al,3295,Union Springs
uniontown,al,2062,Uniontown
uriah,al,1735,Uriah
valhermoso-springs,al,555,Valhermoso Springs
valley,al,10457,Valley
valley-grande,al,4113,Valley Grande
valley-head,al,583,Valley Head
vance,al,2146,Vance
vandiver,al,798,Vandiver
verbena,al,3887,Verbena
vernon,al,1882,Vernon
vestavia-hills,al,38803,Vestavia Hills
vina,al,324,Vina
vincent,al,1997,Vincent
vinegar-bend,al,654,Vinegar Bend
vinemont,al,8835,Vinemont
vredenburgh,al,219,Vredenburgh
wadley,al,831,Wadley
wagarville,al,917,Wagarville
waldo,al,252,Waldo
walnut-grove,al,776,Walnut Grove
ward,al,805,Ward
warrior,al,3203,Warrior
waterloo,al,182,Waterloo
watson,al,89,Watson
waverly,al,152,Waverly
weaver,al,3324,Weaver
webb,al,1281,Webb
wedowee,al,738,Wedowee
wellington,al,2932,Wellington
weogufka,al,1101,Weogufka
west-blocton,al,1222,West Blocton
west-greene,al,0,West Greene
west-jefferson,al,418,West Jefferson
west-point,al,620,West Point
westover,al,1802,Westover
wetumpka,al,7111,Wetumpka
whatley,al,825,Whatley
white-hall,al,775,White Hall
wilmer,al,12967,Wilmer
wilsonville,al,1869,Wilsonville
wilton,al,592,Wilton
winfield,al,4833,Winfield
wing,al,588,Wing
woodland,al,221,Woodland
woodstock,al,1577,Woodstock
woodville,al,747,Woodville
yellow-bluff,al,225,Yellow Bluff
york,al,2372,York
adona,ar,146,Adona
alexander,ar,3607,Alexander
alicia,ar,142,Alicia
alleene,ar,117,Alleene
allport,ar,88,Allport
alma,ar,5856,Alma
almyra,ar,253,Almyra
alpena,ar,376,Alpena
altheimer,ar,682,Altheimer
altus,ar,669,Altus
amagon,ar,65,Amagon
amity,ar,673,Amity
anthonyville,ar,132,Anthonyville
antoine,ar,116,Antoine
arkadelphia,ar,10211,Arkadelphia
arkansas-city,ar,370,Arkansas City
ash-flat,ar,1157,Ash Flat
ashdown,ar,4232,Ashdown
atkins,ar,2868,Atkins
aubrey,ar,108,Aubrey
augusta,ar,1964,Augusta
austin,ar,4014,Austin
avoca,ar,480,Avoca
bald-knob,ar,2533,Bald Knob
banks,ar,81,Banks
barling,ar,4843,Barling
bassett,ar,121,Bassett
batesville,ar,11153,Batesville
bauxite,ar,627,Bauxite
bay,ar,1849,Bay
bearden,ar,763,Bearden
beaver,ar,67,Beaver
bee-branch,ar,1885,Bee Branch
beebe,ar,8538,Beebe
beech-grove,ar,483,Beech Grove
beedeville,ar,84,Beedeville
beirne,ar,0,Beirne
